location,interval,priority
28031,420,high
28039,420,high
28041,420,high
28049,420,high
28051,420,high
28059,420,high
28061,420,high
28069,600,low
28071,420,high
28079,420,high
28081,420,high
28089,420,high
28091,420,high
28099,420,high
28101,420,high
28109,420,high
28181,420,high
28189,420,high
28199,600,low
28201,600,low
28211,420,high
28221,420,high
28229,420,high
28231,420,high
28239,420,high
28241,420,high
28249,420,high
28251,420,high
28259,420,high
28261,420,high
28269,420,high
28271,420,high
28279,420,high
28281,420,high
28289,420,high
28291,420,high
28299,420,high
28301,420,high
28309,600,low
28311,420,high
28319,420,high
28321,420,high
28329,420,high
28331,420,high
28339,420,high
28341,420,high
28349,420,high
28351,600,low
28359,420,high
28361,600,low
28369,420,high
28371,600,low
28379,420,high
28381,420,high
28389,420,high
28391,420,high
28399,420,high
28401,420,high
28409,420,high
28411,600,low
28421,600,low
28431,420,high
28439,420,high
28441,420,high
28449,420,high
28451,420,high
28459,420,high
28461,420,high
28469,420,high
28471,600,low
28481,600,low
28491,420,high
28499,420,high
28501,420,high
28509,420,high
28511,420,high
28519,420,high
28521,420,high
28529,420,high
28531,420,high
28539,420,high
28541,600,low
28551,600,low
28561,600,low
28571,600,low
28581,600,low
28591,600,low
28601,600,low
28611,600,low
28621,420,high
28629,420,high
28631,420,high
28639,420,high
28641,420,high
28649,420,high
28651,420,high
28659,420,high
28661,420,high
28669,600,low
28671,420,high
28679,600,low
28681,420,high
28689,600,low
28691,420,high
28699,600,low
28701,420,high
28709,600,low
29009,420,high
29011,600,low
29019,600,low
29021,600,low
29029,420,high
29031,600,low
29039,420,high
29041,600,low
29049,600,low
29051,600,low
29059,600,low
29069,600,low
29071,600,low
29081,600,low
29089,600,low
29091,600,low
29099,600,low
29101,600,low
29109,600,low
29111,600,low
29119,600,low
29121,600,low
29129,600,low
29139,600,low
29149,600,low
29159,600,low
29161,600,low
42011,600,low
42019,420,high
42021,600,low
42029,420,high
42031,600,low
42039,420,high
42041,600,low
42049,420,high
42051,600,low
42059,420,high
42081,600,low
42089,420,high
42091,600,low
42099,420,high
30101,600,low
30109,600,low
30111,420,high
30119,600,low
30121,420,high
30129,420,high
31009,600,low
31011,600,low
31019,600,low
31031,600,low
31039,600,low
31041,600,low
31049,600,low
31051,600,low
31059,600,low
31121,600,low
31129,420,high
31131,600,low
31139,420,high
31141,600,low
31149,420,high
31151,600,low
31159,420,high
31161,600,low
31169,420,high
31171,600,low
31179,420,high
31191,600,low
31199,420,high
32071,420,high
32081,420,high
32089,600,low
32121,420,high
32129,600,low
32131,420,high
32139,600,low
32141,420,high
32149,600,low
32151,420,high
32159,600,low
33011,420,high
33019,600,low
33021,420,high
33029,600,low
33031,420,high
33039,600,low
33041,420,high
33049,600,low
33051,600,low
33059,600,low
34209,600,low
34011,600,low
34019,600,low
34021,600,low
34029,600,low
34031,600,low
34039,600,low
34041,600,low
34049,600,low
34051,600,low
34059,600,low
42011,420,high
42019,420,high
42021,420,high
42029,420,high
42031,420,high
42039,420,high
42041,420,high
42049,420,high
42051,420,high
42059,420,high
42069,420,high
42071,420,high
42079,420,high
42081,420,high
42089,420,high
42091,420,high
42099,420,high
40101,420,high
40109,420,high
40111,420,high
40119,420,high
40121,420,high
40129,420,high
40171,420,high
40179,420,high
40181,420,high
40189,420,high
40191,420,high
40199,420,high
40201,420,high
40209,420,high
40211,420,high
40219,420,high
40221,420,high
40229,420,high
40231,420,high
40239,420,high
40249,420,high
40251,600,low
40259,600,low
40261,600,low
40269,600,low
40271,420,high
40279,420,high
40281,600,low
40289,600,low
40301,600,low
40309,600,low
40311,420,high
40321,420,high
40329,420,high
40331,600,low
40339,600,low
40341,600,low
40349,600,low
40351,420,high
40359,420,high
40361,420,high
40369,600,low
40371,600,low
40379,600,low
40381,420,high
40389,420,high
40391,600,low
40399,420,high
40401,420,high
40409,420,high
40411,420,high
40419,420,high
40421,420,high
40429,420,high
40431,420,high
40439,420,high
40441,420,high
40449,420,high
40451,420,high
40459,420,high
40481,600,low
40489,600,low
40491,600,low
40499,600,low
40501,600,low
40509,600,low
41009,420,high
41011,420,high
41019,420,high
41021,420,high
41029,420,high
41031,420,high
41041,420,high
41049,420,high
41051,420,high
41061,420,high
41069,420,high
41071,420,high
41079,420,high
41081,420,high
41089,420,high
41101,420,high
41109,420,high
41111,420,high
41119,420,high
41121,420,high
41129,420,high
41131,420,high
41139,420,high
41141,600,low
41151,600,low
41159,600,low
41161,420,high
41169,420,high
42011,420,high
42019,420,high
42021,420,high
42029,420,high
42031,420,high
42039,420,high
42041,420,high
42049,420,high
42051,420,high
42059,420,high
42061,420,high
42071,420,high
42079,420,high
42089,420,high
42091,420,high
42099,420,high
42109,420,high
42111,420,high
42119,420,high
42129,420,high
42131,420,high
42139,420,high
42141,420,high
42149,420,high
42151,420,high
42159,420,high
42161,420,high
42169,420,high
42171,420,high
42179,420,high
42181,420,high
42189,420,high
42191,420,high
42199,420,high
42201,420,high
42209,420,high
42211,600,low
42219,600,low
42221,600,low
42229,600,low
42231,420,high
42239,420,high
42241,600,low
42249,600,low
42259,420,high
42291,600,low
42299,600,low
42301,600,low
42309,600,low
42311,420,high
42319,420,high
42991,600,low
44209,420,high
43011,420,high
43019,420,high
43021,420,high
43029,420,high
43041,420,high
43049,420,high
43051,420,high
43059,420,high
43061,420,high
43069,420,high
43071,420,high
43081,420,high
43089,420,high
43091,420,high
43099,420,high
43109,420,high
43111,420,high
43119,420,high
43121,600,low
43129,600,low
43131,600,low
43139,600,low
43141,600,low
43149,600,low
43151,600,low
43159,600,low
43161,420,high
43169,420,high
43171,420,high
43179,420,high
43181,420,high
43189,420,high
43191,420,high
43199,420,high
43201,420,high
43209,420,high
43211,600,low
43219,600,low
43221,600,low
43229,600,low
43231,420,high
43239,420,high
43241,420,high
43249,420,high
43251,420,high
43259,420,high
43261,420,high
43267,600,low
43268,420,high
43271,420,high
43279,420,high
43289,600,low
43291,600,low
43301,600,low
43309,600,low
43311,600,low
43319,600,low
43321,420,high
43329,420,high
43331,600,low
43339,600,low
43341,420,high
43349,420,high
43351,600,low
43359,600,low
43361,600,low
43369,600,low
43371,420,high
43379,420,high
43381,420,high
43389,420,high
43391,600,low
43399,420,high
43401,420,high
43409,420,high
43411,420,high
43419,420,high
43421,420,high
43429,420,high
43431,600,low
43439,600,low
43441,600,low
43449,600,low
43452,600,low
43453,420,high
43459,420,high
43461,420,high
43469,420,high
43471,420,high
43479,420,high
43481,420,high
43489,420,high
43491,420,high
43499,420,high
43501,600,low
43509,600,low
43511,420,high
43519,420,high
43521,420,high
43529,420,high
43531,420,high
43539,420,high
43541,600,low
43549,420,high
43551,600,low
43559,600,low
43561,600,low
43569,420,high
43571,420,high
43579,420,high
43581,600,low
43589,600,low
43591,420,high
43599,420,high
43601,420,high
43609,600,low
43611,420,high
43619,420,high
43621,420,high
43629,420,high
43631,600,low
43639,600,low
43641,420,high
43649,420,high
43659,600,low
43669,600,low
43671,420,high
43679,420,high
43681,600,low
43691,420,high
43699,420,high
43701,420,high
43709,600,low
43719,600,low
43721,600,low
43731,600,low
43739,600,low
43741,600,low
43749,600,low
43751,420,high
43759,420,high
43761,420,high
43769,420,high
43771,420,high
43779,420,high
43781,420,high
43789,420,high
43799,600,low
43801,600,low
43809,420,high
43811,600,low
43819,600,low
43821,600,low
43829,600,low
43831,420,high
43839,420,high
43841,600,low
43891,600,low
43899,600,low
43961,600,low
43969,600,low
43991,420,high
44209,420,high
44011,420,high
44019,420,high
44021,420,high
44029,420,high
44031,420,high
44041,420,high
44049,420,high
44051,420,high
44059,420,high
44061,420,high
44069,420,high
44071,420,high
44079,420,high
44081,420,high
44089,420,high
44091,420,high
44099,420,high
44101,600,low
44109,600,low
44111,420,high
44119,420,high
44121,420,high
44129,420,high
44131,420,high
44139,420,high
44141,420,high
44149,420,high
44151,420,high
44159,420,high
44161,420,high
44169,420,high
44171,420,high
44179,420,high
44181,420,high
44189,420,high
44191,600,low
44199,600,low
44201,420,high
44209,420,high
44211,420,high
44219,420,high
44221,420,high
44229,420,high
44231,420,high
44239,420,high
44241,420,high
44249,420,high
44251,420,high
44259,420,high
44261,420,high
44269,420,high
44271,420,high
44279,420,high
44281,420,high
44289,420,high
44291,420,high
44299,420,high
44301,600,low
44311,600,low
44321,420,high
44329,420,high
44331,420,high
44339,420,high
44341,420,high
44349,420,high
44351,420,high
44359,420,high
44361,420,high
44369,420,high
44371,420,high
44379,420,high
44381,420,high
44389,420,high
44391,420,high
44399,420,high
44411,600,low
44421,600,low
44439,600,low
44441,420,high
44449,420,high
44451,420,high
44459,420,high
44461,420,high
44469,420,high
44471,600,low
44479,600,low
44481,600,low
44489,600,low
44491,420,high
44499,600,low
46001,420,high
46009,600,low
44511,420,high
44519,600,low
44521,420,high
44529,600,low
44531,420,high
44539,420,high
44541,420,high
44549,420,high
44551,420,high
44559,600,low
44561,600,low
44569,600,low
44571,600,low
44579,600,low
44581,420,high
44589,600,low
44591,420,high
44599,420,high
44601,600,low
44609,600,low
44611,420,high
44619,420,high
44621,420,high
