BusStopCode,interval,priority
40261,450,low
40269,450,low
40271,300,high
40279,300,high
40281,450,low
40289,450,low
40301,450,low
40309,450,low
40311,300,high
40321,300,high
40329,300,high
40331,450,low
40339,450,low
40341,450,low
40349,450,low
40351,300,high
40359,300,high
40361,300,high
40369,450,low
40371,450,low
40379,450,low
40381,300,high
40389,300,high
40391,450,low
40399,300,high
40401,300,high
40409,300,high
40411,300,high
40419,300,high
40421,300,high
40429,300,high
40431,300,high
40439,300,high
40441,300,high
40449,300,high
40451,300,high
40459,300,high
40481,450,low
40489,450,low
40491,450,low
40499,450,low
40501,450,low
40509,450,low
41009,300,high
41011,300,high
41019,300,high
41021,300,high
41029,300,high
41031,300,high
41041,300,high
41049,300,high
41051,300,high
41061,300,high
41069,300,high
41071,300,high
41079,300,high
41081,300,high
41089,300,high
41101,300,high
41109,300,high
41111,300,high
41119,300,high
41121,300,high
41129,300,high
41131,300,high
41139,300,high
41141,450,low
41151,450,low
41159,450,low
41161,300,high
41169,300,high
42011,300,high
42019,300,high
42021,300,high
42029,300,high
42031,300,high
42039,300,high
42041,300,high
42049,300,high
42051,300,high
42059,300,high
42061,300,high
42071,300,high
42079,300,high
42089,300,high
42091,300,high
42099,300,high
42109,300,high
42111,300,high
42119,300,high
42129,300,high
42131,300,high
42139,300,high
42141,300,high
42149,300,high
42151,300,high
42159,300,high
42161,300,high
42169,300,high
42171,300,high
42179,300,high
42181,300,high
42189,300,high
42191,300,high
42199,300,high
42201,300,high
42209,300,high
42211,450,low
42219,450,low
42221,450,low
42229,450,low
42231,300,high
42239,300,high
42241,450,low
42249,450,low
42259,300,high
42291,450,low
42299,450,low
42301,450,low
42309,450,low
42311,300,high
42319,300,high
42991,450,low
43009,300,high
43011,300,high
43019,300,high
43021,300,high
43029,300,high
43041,300,high
43049,300,high
43051,300,high
43059,300,high
43061,300,high
43069,300,high
43071,300,high
43081,300,high
43089,300,high
43091,300,high
43099,300,high
43109,300,high
43111,300,high
43119,300,high
43121,450,low
43129,450,low
43131,450,low
43139,450,low
43141,450,low
43149,450,low
43151,450,low
43159,450,low
43161,300,high
43169,300,high
43171,300,high
43179,300,high
43181,300,high
43189,300,high
43191,300,high
43199,300,high
43201,300,high
43209,300,high
43211,450,low
43219,450,low
43221,450,low
43229,450,low
43231,300,high
43239,300,high
43241,300,high
43249,300,high
43251,300,high
43259,300,high
43261,300,high
43267,450,low
43268,300,high
43271,300,high
43279,300,high
43289,450,low
43291,450,low
43301,450,low
43309,450,low
43311,450,low
43319,450,low
43321,300,high
43329,300,high
43331,450,low
43339,450,low
43341,300,high
43349,300,high
43351,450,low
43359,450,low
43361,450,low
43369,450,low
43371,300,high
43379,300,high
43381,300,high
43389,300,high
43391,450,low
43399,300,high
43401,300,high
43409,300,high
43411,300,high
43419,300,high
43421,300,high
43429,300,high
43431,450,low
43439,450,low
43441,450,low
43449,450,low
43452,450,low
43453,300,high
43459,300,high
43461,300,high
43469,300,high
43471,300,high
43479,300,high
43481,300,high
43489,300,high
43491,300,high
43499,300,high
43501,450,low
43509,450,low
43511,300,high
43519,300,high
43521,300,high
43529,300,high
43531,300,high
43539,300,high
43541,450,low
43549,300,high
43551,450,low
43559,450,low
43561,450,low
43569,300,high
43571,300,high
43579,300,high
43581,450,low
43589,450,low
43591,300,high
43599,300,high
43601,300,high
43609,450,low
43611,300,high
43619,300,high
43621,300,high
43629,300,high
43631,450,low
43639,450,low
43641,300,high
43649,300,high
43659,450,low
43669,450,low
43671,300,high
43679,300,high
43681,450,low
43691,300,high
43699,300,high
43701,300,high
43709,450,low
43719,450,low
43721,450,low
43731,450,low
43739,450,low
43741,450,low
43749,450,low
43751,300,high
43759,300,high
43761,300,high
43769,300,high
43771,300,high
43779,300,high
43781,300,high
43789,300,high
43799,450,low
43801,450,low
43809,300,high
43811,450,low
43819,450,low
43821,450,low
43829,450,low
43831,300,high
43839,300,high
43841,450,low
43891,450,low
43899,450,low
43961,450,low
43969,450,low
43991,300,high
44009,300,high
44011,300,high
44019,300,high
44021,300,high
44029,300,high
44031,300,high
44041,300,high
44049,300,high
44051,300,high
44059,300,high
44061,300,high
44069,300,high
44071,300,high
44079,300,high
44081,300,high
44089,300,high
44091,300,high
44099,300,high
44101,450,low
44109,450,low
44111,300,high
44119,300,high
44121,300,high
44129,300,high
44131,300,high
44139,300,high
44141,300,high
44149,300,high
44151,300,high
44159,300,high
44161,300,high
44169,300,high
44171,300,high
44179,300,high
44181,300,high
44189,300,high
44191,450,low
44199,450,low
44201,300,high
44209,300,high
44211,300,high
44219,300,high
44221,300,high
44229,300,high
44231,300,high
44239,300,high
44241,300,high
44249,300,high
44251,300,high
44259,300,high
44261,300,high
44269,300,high
44271,300,high
44279,300,high
44281,300,high
44289,300,high
44291,300,high
44299,300,high
44301,450,low
44311,450,low
44321,300,high
44329,300,high
44331,300,high
44339,300,high
44341,300,high
44349,300,high
44351,300,high
44359,300,high
44361,300,high
44369,300,high
44371,300,high
44379,300,high
44381,300,high
44389,300,high
44391,300,high
44399,300,high
44411,450,low
44421,450,low
44439,450,low
44441,300,high
44449,300,high
44451,300,high
44459,300,high
44461,300,high
44469,300,high
44471,450,low
44479,450,low
44481,450,low
44489,450,low
44491,300,high
44499,450,low
44501,300,high
44509,450,low
44511,300,high
44519,450,low
44521,300,high
44529,450,low
44531,300,high
44539,300,high
44541,300,high
44549,300,high
44551,300,high
44559,450,low
44561,450,low
44569,450,low
44571,450,low
44579,450,low
44581,300,high
44589,450,low
44591,300,high
44599,300,high
44601,450,low
